Excluded due to y_range or header_y_range: {'content': 'Creative Commons Zero (CC0) / http://www.hathitrust.org/access use#cc-zero', 'polygon': [0.13, 9.5683, 0.1333, 5.3409, 0.23, 5.3409, 0.2267, 9.5683], 'spans': [{'offset': 53728, 'length': 74}]}
Excluded due to y_range or header_y_range: {'content': 'Google', 'polygon': [1.3967, 9.4516, 2.08, 9.4616, 2.07, 9.6717, 1.3867, 9.685], 'spans': [{'offset': 53682, 'length': 6}]}
Excluded due to y_range or header_y_range: {'content': 'Digitized by', 'polygon': [0.9233, 9.5316, 1.3733, 9.5316, 1.3733, 9.625, 0.9233, 9.6183], 'spans': [{'offset': 53669, 'length': 12}]}
Excluded due to y_range or header_y_range: {'content': '.', 'polygon': [5.2667, 0.4901, 5.3033, 0.4934, 5.3033, 0.5401, 5.2633, 0.5401], 'spans': [{'offset': 47837, 'length': 1}]}
Excluded due to y_range or header_y_range: {'content': 'Waimate Courthouse.', 'polygon': [3.8033, 0.6101, 5.0567, 0.6134, 5.0567, 0.7535, 3.8033, 0.7501], 'spans': [{'offset': 47872, 'length': 19}]}
Excluded due to y_range or header_y_range: {'content': '[JULY 17', 'polygon': [5.1833, 0.6234, 5.6933, 0.6168, 5.6967, 0.7568, 5.1867, 0.7635], 'spans': [{'offset': 47892, 'length': 8}]}
Excluded due to y_range or header_y_range: {'content': 'lation, many of whom were undesirable charac-', 'polygon': [3.3367, 0.9202, 5.7133, 0.9168, 5.7133, 1.0268, 3.3367, 1.0368], 'spans': [{'offset': 50849, 'length': 45}]}
Excluded due to y_range or header_y_range: {'content': 'Original from', 'polygon': [4.25, 9.4783, 4.7433, 9.4816, 4.7433, 9.5683, 4.25, 9.565], 'spans': [{'offset': 53689, 'length': 13}]}
Excluded due to y_range or header_y_range: {'content': 'UNIVERSITY OF CALIFORNIA', 'polygon': [3.83, 9.585, 5.15, 9.585, 5.15, 9.6817, 3.83, 9.6817], 'spans': [{'offset': 53703, 'length': 24}]}
Excluded due to y_range or header_y_range: {'content': '[HOUSE.]', 'polygon': [2.6274, 0.6468, 3.2742, 0.6468, 3.2742, 0.7968, 2.6274, 0.7968], 'spans': [{'offset': 54517, 'length': 8}]}
Excluded due to y_range or header_y_range: {'content': 'Reorganization of', 'polygon': [1.2737, 0.6501, 2.314, 0.6501, 2.3106, 0.7968, 1.2737, 0.7901], 'spans': [{'offset': 54499, 'length': 17}]}
Excluded due to y_range or header_y_range: {'content': '1901.]', 'polygon': [0.5435, 0.6601, 0.9403, 0.6601, 0.9403, 0.7935, 0.5435, 0.7901], 'spans': [{'offset': 54549, 'length': 6}]}
Excluded due to y_range or header_y_range: {'content': 'as soon as possible. The position of this par- { and so forth, he might say the honourable', 'polygon': [0.5568, 0.9568, 5.4082, 0.9468, 5.4082, 1.0602, 0.5568, 1.0702], 'spans': [{'offset': 54556, 'length': 90}]}
Excluded due to y_range or header_y_range: {'content': 'Creative Commons Zero (CC0) / http://www.hathitrust. org/access use#cc-zero', 'polygon': [0.1267, 9.5683, 0.13, 5.2876, 0.2301, 5.2876, 0.2267, 9.5683], 'spans': [{'offset': 60693, 'length': 75}]}
Excluded due to y_range or header_y_range: {'content': 'Generated on 2024-02-03 07:27 GMT', 'polygon': [0.0133, 9.5716, 0.0133, 7.6713, 0.1267, 7.6713, 0.1267, 9.5716], 'spans': [{'offset': 60769, 'length': 33}]}
Excluded due to y_range or header_y_range: {'content': 'Google', 'polygon': [1.4071, 9.4516, 2.0939, 9.4583, 2.0839, 9.675, 1.3971, 9.6817], 'spans': [{'offset': 60600, 'length': 6}]}
Excluded due to y_range or header_y_range: {'content': 'Digitized by', 'polygon': [0.9236, 9.525, 1.3837, 9.5283, 1.3837, 9.625, 0.9236, 9.6216], 'spans': [{'offset': 60587, 'length': 12}]}
Excluded due to y_range or header_y_range: {'content': 'Geological Department.', 'polygon': [3.561, 0.6501, 4.898, 0.6534, 4.898, 0.8001, 3.561, 0.7901], 'spans': [{'offset': 54526, 'length': 22}]}
Excluded due to y_range or header_y_range: {'content': '409', 'polygon': [5.1914, 0.6568, 5.4115, 0.6534, 5.4082, 0.7735, 5.1914, 0.7735], 'spans': [{'offset': 54495, 'length': 3}]}
Excluded due to y_range or header_y_range: {'content': 'Original from', 'polygon': [4.2712, 9.4683, 4.768, 9.4683, 4.768, 9.575, 4.2712, 9.575], 'spans': [{'offset': 60607, 'length': 13}]}
Excluded due to y_range or header_y_range: {'content': 'UNIVERSITY OF CALIFORNIA', 'polygon': [3.8544, 9.585, 5.1848, 9.585, 5.1848, 9.685, 3.8544, 9.685], 'spans': [{'offset': 60621, 'length': 24}]}
Excluded due to y_range or header_y_range: {'content': 'Main East Road.', 'polygon': [1.5467, 0.6067, 2.5667, 0.6101, 2.5667, 0.7368, 1.5467, 0.7334], 'spans': [{'offset': 61208, 'length': 15}]}
Excluded due to y_range or header_y_range: {'content': '410', 'polygon': [0.9067, 0.6201, 1.1267, 0.6167, 1.12, 0.7267, 0.9067, 0.7267], 'spans': [{'offset': 61204, 'length': 3}]}
Excluded due to y_range or header_y_range: {'content': 'out the work. He therefore asked the Minister', 'polygon': [0.9033, 0.9168, 3.2733, 0.9168, 3.2733, 1.0268, 0.9033, 1.0301], 'spans': [{'offset': 61265, 'length': 45}]}
Excluded due to y_range or header_y_range: {'content': 'Generated on 2024-02-03 07:27 GMT / https://hdl.handle.net/2027/uc1. 32106019788238', 'polygon': [0.0167, 9.5544, 0.0167, 4.9506, 0.1133, 4.9506, 0.1133, 9.5544], 'spans': [{'offset': 67105, 'length': 83}]}
Excluded due to y_range or header_y_range: {'content': 'Creative Commons Zero (CC0) / http://www.hathitrust.org/access use#cc-zero', 'polygon': [0.1267, 9.5578, 0.13, 5.3839, 0.23, 5.3839, 0.2267, 9.5578], 'spans': [{'offset': 67189, 'length': 74}]}
Excluded due to y_range or header_y_range: {'content': 'Google', 'polygon': [1.3767, 9.4377, 2.05, 9.4377, 2.05, 9.6644, 1.3767, 9.6611], 'spans': [{'offset': 67055, 'length': 6}]}
Excluded due to y_range or header_y_range: {'content': 'Digitized by', 'polygon': [0.91, 9.5211, 1.35, 9.5244, 1.35, 9.6144, 0.91, 9.6078], 'spans': [{'offset': 67042, 'length': 12}]}
Excluded due to y_range or header_y_range: {'content': '[HOUSE.] Taranaki Dairy-school. [JULY 17', 'polygon': [2.9967, 0.6067, 5.66, 0.6267, 5.6567, 0.7768, 2.9967, 0.7534], 'spans': [{'offset': 61224, 'length': 40}]}
Excluded due to y_range or header_y_range: {'content': 'such notice the said land shall be', 'polygon': [3.8367, 0.9201, 5.67, 0.9268, 5.67, 1.0435, 3.8367, 1.0368], 'spans': [{'offset': 64252, 'length': 34}]}
Excluded due to y_range or header_y_range: {'content': 'Original from', 'polygon': [4.1867, 9.4711, 4.6767, 9.4711, 4.6767, 9.5544, 4.1867, 9.5544], 'spans': [{'offset': 67062, 'length': 13}]}
Excluded due to y_range or header_y_range: {'content': 'UNIVERSITY OF CALIFORNIA', 'polygon': [3.7733, 9.5744, 5.0833, 9.5744, 5.0833, 9.6678, 3.7733, 9.6711], 'spans': [{'offset': 67076, 'length': 24}]}
Excluded due to y_range or header_y_range: {'content': '[HOUSE.]', 'polygon': [2.6667, 0.6702, 3.3067, 0.6735, 3.3067, 0.8235, 2.6633, 0.8169], 'spans': [{'offset': 67639, 'length': 8}]}
Excluded due to y_range or header_y_range: {'content': 'Taranaki Dairy-school.', 'polygon': [1.1367, 0.6735, 2.4833, 0.6735, 2.4833, 0.8135, 1.1367, 0.8069], 'spans': [{'offset': 67616, 'length': 22}]}
