2024-10-03 15:39:08,654 - INFO - Excluded strings: ['<!-- FigureContent="Stores.', '" Per" -->', '<!-- PageHeader="Imperial Honours.', 'http://www.hathitrust.org/access use#cc-zero', 'http://www.hathitrust. org/access use#cc-zero', 'org/access', 'use#cc-zero', '/'], Excluded patterns: ['http[s]?://(?:[a-zA-Z]|[0-9]|[$-_@.&+]|[!*\\\\(\\\\),]|(?:%[0-9a-fA-F][0-9a-fA-F]))+', '<!--\\s*[a-zA-Z]+\\s*="[^"]*"\\s*-->']
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'So it shows that my honourable friend the', 'polygon': [0.9501, 0.9035, 3.3236, 0.8935, 3.3236, 1.0068, 0.9501, 1.0202], 'spans': [{'offset': 20944, 'length': 41}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'Generated on 2024-04-28 23:23 GMT / https://hdl.handle.net/2027/uc1.32106019788253', 'polygon': [0.02, 9.6483, 0.0167, 4.9708, 0.1133, 4.9708, 0.1133, 9.6483], 'spans': [{'offset': 26996, 'length': 82}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'Creative Commons Zero (CC0) / http://www.hathitrust. org/access use#cc-zero', 'polygon': [0.13, 9.6483, 0.1333, 5.4176, 0.23, 5.4176, 0.2267, 9.6483], 'spans': [{'offset': 26920, 'length': 75}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'Google', 'polygon': [1.3768, 9.5316, 2.0835, 9.5316, 2.0802, 9.7617, 1.3768, 9.755], 'spans': [{'offset': 26850, 'length': 6}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'Digitized by', 'polygon': [0.9268, 9.6116, 1.3768, 9.6183, 1.3735, 9.7083, 0.9268, 9.7017], 'spans': [{'offset': 26837, 'length': 12}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="[HOUSE.]" -->', 'polygon': [3.0303, 0.5901, 3.6737, 0.5934, 3.6703, 0.7468, 3.0303, 0.7435], 'spans': [{'offset': 20845, 'length': 30}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="Privilege." -->', 'polygon': [4.1437, 0.5968, 4.6971, 0.6001, 4.6971, 0.7401, 4.1437, 0.7368], 'spans': [{'offset': 20877, 'length': 32}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageHeader="[SEPT. 10" -->', 'polygon': [5.2138, 0.6034, 5.8072, 0.6001, 5.8072, 0.7435, 5.2138, 0.7435], 'spans': [{'offset': 20911, 'length': 31}]}
2024-10-03 15:39:09,043 - INFO - Excluded due to y_range or header_y_range: {'content': 'which he wishes to be imposed on these men.', 'polygon': [3.4003, 0.8968, 5.8072, 0.9035, 5.8039, 1.0168, 3.4003, 1.0068], 'spans': [{'offset': 23941, 'length': 43}]}
2024-10-03 15:39:09,044 - INFO - Excluded due to y_range or header_y_range: {'content': '<!-- PageFooter="Original from', 'polygon': [4.2604, 9.565, 4.7471, 9.565, 4.7471, 9.6516, 4.2604, 9.6483], 'spans': [{'offset': 26858, 'length': 30}]}
